日期,小程序（浏览量）,小程序（访客量）,淘宝（浏览量）,淘宝（访客量）,掌上大学,总计,文章的阅读量,淘宝特点活动,,,,,,,,,,,,,,,,
04-11,,,,,,,,,,,,,,,,,,,,,,,,
04-12,,,,,,,,,,,,,,,,,,,,,,,,
04-13,,,,,,,,,,,,,,,,,,,,,,,,
04-14,,,,,,,,,,,,,,,,,,,,,,,,
04-15,,,,,,,,,,,,,,,,,,,,,,,,
04-16,,,,,,,,,,,,,,,,,,,,,,,,
04-17,,,,,,,,,,,,,,,,,,,,,,,,
04-18,,,,,,,,,,,,,,,,,,,,,,,,
04-19,,,,,,,,,,,,,,,,,,,,,,,,
04-20,,,,,,,,,,,,,,,,,,,,,,,,
04-21,,,,,,,,,,,,,,,,,,,,,,,,
04-22,,,,,,,,,,,,,,,,,,,,,,,,
04-23,,,,,,,,,,,,,,,,,,,,,,,,
04-24,,,,,,,,,,,,,,,,,,,,,,,,
04-25,,,,,,,,,,,,,,,,,,,,,,,,
04-26,,,,,,,,,,,,,,,,,,,,,,,,
04-27,,,,,,,,,,,,,,,,,,,,,,,,
04-28,,,,,,,,,,,,,,,,,,,,,,,,
04-29,,,,,,,,,,,,,,,,,,,,,,,,
04-30,,,,,,,,,,,,,,,,,,,,,,,,
05-01,,,,,,,,,,,,,,,,,,,,,,,,
05-02,,,,,,,,,,,,,,,,,,,,,,,,
05-03,,,,,,,,,,,,,,,,,,,,,,,,
05-04,,,,,,,,,,,,,,,,,,,,,,,,
05-05,,,,,,,,,,,,,,,,,,,,,,,,
05-06,,,,,,,,,,,,,,,,,,,,,,,,
05-07,,,,,,,,,,,,,,,,,,,,,,,,
05-08,,,,,,,,,,,,,,,,,,,,,,,,
05-09,,,,,,,,,,,,,,,,,,,,,,,,
05-10,,,,,,,,,,,,,,,,,,,,,,,,
05-11,,,,,,,,,,,,,,,,,,,,,,,,
05-12,,,,,,,,,,,,,,,,,,,,,,,,
05-13,,,,,,,,,,,,,,,,,,,,,,,,
05-14,,,,,,,,,,,,,,,,,,,,,,,,
05-15,,,,,,,,,,,,,,,,,,,,,,,,
05-16,,,,,,,,,,,,,,,,,,,,,,,,
05-17,,,,,,,,,,,,,,,,,,,,,,,,
05-18,,,,,,,,,,,,,,,,,,,,,,,,
05-19,,,,,,,,,,,,,,,,,,,,,,,,
05-20,,,,,,,,,,,,,,,,,,,,,,,,
05-21,,,,,,,,,,,,,,,,,,,,,,,,
05-22,,,,,,,,,,,,,,,,,,,,,,,,
05-23,,,,,,,,,,,,,,,,,,,,,,,,
05-24,,,,,,,,,,,,,,,,,,,,,,,,
05-25,,,,,,,,,,,,,,,,,,,,,,,,
05-26,,,,,,,,,,,,,,,,,,,,,,,,
05-27,,,,,,,,,,,,,,,,,,,,,,,,
05-28,,,,,,,,,,,,,,,,,,,,,,,,
05-29,,,,,,,,,,,,,,,,,,,,,,,,
05-30,,,,,,,,,,,,,,,,,,,,,,,,
05-31,,,,,,,,,,,,,,,,,,,,,,,,
06-01,,,,,,,,,,,,,,,,,,,,,,,,
